City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Libreville,GA,2020-11-04 03:21:45,0.39,9.45,78.8,94,75,5.82
270,Bilibino,RU,2020-11-04 03:21:45,68.05,166.44,-11.88,81,0,2.86
271,Farafangana,MG,2020-11-04 03:21:45,-22.82,47.83,71.33,83,92,9.71
272,Bennington,US,2020-11-04 03:18:30,42.88,-73.2,28.4,68,1,3.36
273,Baruun-Urt,MN,2020-11-04 03:15:30,46.68,113.28,33.13,71,0,5.99
274,Kieta,PG,2020-11-04 03:21:46,-6.22,155.63,85.3,70,87,5.32
275,Coihaique,CL,2020-11-04 03:15:36,-45.58,-72.07,53.6,66,0,6.93
276,Salvaterra De Magos,PT,2020-11-04 03:21:46,39.03,-8.79,54.0,10,0,7.74
277,Luderitz,NA,2020-11-04 03:15:29,-26.65,15.16,57.69,93,1,6.87
278,Taoudenni,ML,2020-11-04 03:21:06,22.68,-3.98,72.21,21,0,4.54
279,Asau,RO,2020-11-04 03:21:46,46.43,26.4,45.0,97,95,1.81
280,Anadyr,RU,2020-11-04 03:21:47,64.75,177.48,6.8,77,0,2.24
281,Kangaatsiaq,GL,2020-11-04 03:21:47,68.31,-53.46,34.79,87,100,24.9
282,Cidreira,BR,2020-11-04 03:15:22,-30.18,-50.21,61.11,78,1,11.65
283,Badnawar,IN,2020-11-04 03:21:47,23.02,75.22,60.8,63,0,2.95
284,Kahama,TZ,2020-11-04 03:21:47,-3.83,32.6,69.89,65,61,6.69
285,Odessa,UA,2020-11-04 03:17:50,46.48,30.73,48.2,93,75,8.95
286,Lodja,CD,2020-11-04 03:21:48,-3.48,23.43,69.4,97,92,1.5
287,Santo Antonio Do Monte,BR,2020-11-04 03:21:48,-20.09,-45.29,60.84,98,4,8.95
288,Zhezkazgan,KZ,2020-11-04 03:21:48,47.8,67.71,28.51,95,0,7.96
289,Maragogi,BR,2020-11-04 03:21:48,-9.01,-35.22,76.35,84,17,8.61
290,Iquique,CL,2020-11-04 03:11:07,-20.22,-70.14,64.4,63,90,8.05
291,Mount Isa,AU,2020-11-04 03:15:10,-20.73,139.5,100.4,15,7,8.05
292,Flagstaff,US,2020-11-04 03:18:13,35.2,-111.65,48.0,64,1,2.24
293,Sao Gabriel Da Cachoeira,BR,2020-11-04 03:16:15,-0.13,-67.09,73.99,96,100,1.19
294,Tautira,PF,2020-11-04 03:21:49,-17.73,-149.15,82.4,69,75,13.87
295,Viedma,AR,2020-11-04 03:21:49,-40.81,-63.0,73.99,49,100,8.01
296,Kattivakkam,IN,2020-11-04 03:21:49,13.22,80.32,80.6,94,40,8.72
297,Tooele,US,2020-11-04 03:21:49,40.53,-112.3,55.0,65,40,5.82
298,Ouallam,NE,2020-11-04 03:21:49,14.32,2.09,81.63,26,100,7.61
299,Vostok,RU,2020-11-04 03:16:01,46.49,135.88,20.34,85,53,13.76
300,Sobolevo,RU,2020-11-04 03:15:44,54.43,31.9,43.38,87,85,7.38
301,Aleksandrov Gay,RU,2020-11-04 03:21:50,50.15,48.57,46.18,55,99,7.52
302,Sakakah,SA,2020-11-04 03:14:51,29.97,40.21,64.4,63,0,4.7
303,Lasem,ID,2020-11-04 03:21:50,-6.69,111.45,86.97,64,58,10.22
